,Sample,Study,ERBB2,EGFR
12979,TCGA-AB-2881-03,TCGA,7.697,1.255
12980,GTEX-12ZZW-0011-R4a-SM-5DUX9,GTEX,11.32,11.58
12981,GTEX-ZY6K-1526-SM-5GZXE,GTEX,13.18,11.85
12982,TCGA-E7-A8O7-01,TCGA,13.79,12.17
12983,TCGA-BH-A1F8-11,TCGA,12.77,12.29
12984,TCGA-P8-A6RY-01,TCGA,8.746,6.85
12985,TCGA-CV-6942-01,TCGA,11.66,12.96
12986,GTEX-W5WG-1526-SM-4LMIG,GTEX,11.76,12.51
12987,TCGA-33-4583-01,TCGA,9.822,11.64
12988,GTEX-1192W-0005-SM-5NQBQ,GTEX,9.055,4.564
12989,TCGA-CV-5441-01,TCGA,12.59,13.18
12990,GTEX-12BJ1-1526-SM-5LUAQ,GTEX,11.11,12.77
12991,GTEX-T6MN-0011-R1A-SM-32QOY,GTEX,8.552,8.654
12992,GTEX-YB5E-1526-SM-5IFIE,GTEX,13.26,11.33
12993,TCGA-DU-8168-01,TCGA,11.38,15.17
12994,GTEX-ZVZP-1726-SM-5GZWY,GTEX,12.48,11.26
12995,TCGA-KK-A8IH-01,TCGA,13.23,11.01
12996,GTEX-13OVI-0326-SM-5K7X1,GTEX,12.33,10.56
12997,GTEX-ZQUD-0526-SM-57WG4,GTEX,9.311,13.26
12998,GTEX-13NZ8-0011-R8b-SM-5KM48,GTEX,8.194,10.29
12999,TCGA-HV-A5A5-01,TCGA,12.5,11.24
13000,GTEX-139TS-0011-R10a-SM-5K7TU,GTEX,9.981,11.12
13001,GTEX-13NZ9-0526-SM-5J1OX,GTEX,10.47,12.36
13002,TCGA-AB-2903-03,TCGA,7.923,0.0
13003,GTEX-SNOS-0826-SM-4DM5N,GTEX,11.75,11.57
13004,GTEX-13OVJ-0011-R5a-SM-5P9H7,GTEX,12.22,12.14
13005,GTEX-Z93S-0926-SM-5HL8B,GTEX,12.74,12.39
13006,TCGA-HC-7211-11,TCGA,13.75,11.76
13007,TCGA-EE-A29R-06,TCGA,11.61,7.424
13008,GTEX-X5EB-2026-SM-4E3KA,GTEX,11.71,10.04
13009,TCGA-GS-A9U3-01,TCGA,8.78,8.551
13010,TCGA-B0-5713-01,TCGA,12.65,13.64
13011,TCGA-BH-A0BV-11,TCGA,13.53,12.93
13012,TCGA-XF-AAMX-01,TCGA,13.29,8.441
13013,TCGA-06-0130-01,TCGA,7.744,10.95
13014,TARGET-50-PAKNAL-01,TARGET,12.89,11.46
13015,TCGA-EL-A3ZN-01,TCGA,13.04,11.89
