,Sample,Study,ERBB2,EGFR
0,GTEX-S4Q7-0003-SM-3NM8M,GTEX,9.428,5.69
1,TCGA-S9-A7J2-01,TCGA,10.23,14.31
2,GTEX-QV31-1626-SM-2S1QC,GTEX,11.68,12.06
3,TCGA-G3-A3CH-11,TCGA,12.32,12.44
4,GTEX-13OVI-1026-SM-5L3EM,GTEX,10.9,12.32
5,GTEX-13OW5-0626-SM-5J2N2,GTEX,13.0,11.43
6,GTEX-XUZC-2026-SM-4BRW9,GTEX,12.96,12.04
7,TCGA-EK-A2RE-01,TCGA,12.4,13.92
8,TCGA-44-6778-01,TCGA,11.09,10.91
9,TCGA-F4-6854-01,TCGA,13.23,11.1
10,TCGA-AB-2863-03,TCGA,7.208,3.625
11,TCGA-C8-A1HL-01,TCGA,14.69,8.622
12,TCGA-EW-A2FS-01,TCGA,13.98,9.782
13,GTEX-ZAKK-0326-SM-5EGHA,GTEX,11.93,11.0
14,GTEX-1399S-1726-SM-5L3DI,GTEX,12.1,12.86
15,GTEX-ZF29-0926-SM-4WKFZ,GTEX,13.75,14.1
16,TCGA-05-4420-01,TCGA,13.61,11.2
17,GTEX-13W3W-2626-SM-5SIA2,GTEX,10.13,10.11
18,GTEX-WHPG-0226-SM-3NMB9,GTEX,12.85,11.34
19,TCGA-2G-AAFZ-01,TCGA,13.46,11.9
20,GTEX-P44H-0526-SM-2XCF1,GTEX,12.82,12.97
21,GTEX-ZDYS-0826-SM-4WWCR,GTEX,13.46,13.15
22,TCGA-DX-A3U8-01,TCGA,11.93,7.394
23,TCGA-GL-8500-01,TCGA,13.55,11.96
24,GTEX-13OVJ-0011-R1b-SM-5L3I6,GTEX,11.04,11.09
25,TCGA-CC-A3MA-01,TCGA,12.8,12.31
26,GTEX-TSE9-0126-SM-3DB83,GTEX,13.15,13.87
27,TCGA-BR-A4J6-01,TCGA,13.52,11.42
28,GTEX-RU1J-1926-SM-2TF6S,GTEX,11.64,13.37
29,TCGA-KK-A6E4-01,TCGA,12.5,10.37
30,TCGA-IN-7808-01,TCGA,10.84,11.07
31,TCGA-L5-A4OH-01,TCGA,13.68,13.7
32,TCGA-RP-A695-06,TCGA,11.12,4.518
33,TCGA-A4-7828-01,TCGA,13.29,12.82
34,TARGET-20-PARXMP-09,TARGET,8.054,0.0
35,GTEX-POMQ-0006-SM-5SI7D,GTEX,6.574,3.976
36,TCGA-B9-A8YH-01,TCGA,13.94,12.79
37,GTEX-11P7K-0326-SM-59871,GTEX,12.22,11.9
38,TCGA-E1-A7YI-01,TCGA,9.586,9.188
39,TCGA-PC-A5DM-01,TCGA,11.34,10.86
40,TCGA-BR-A4QL-01,TCGA,12.65,11.27
41,TCGA-CH-5751-01,TCGA,11.57,12.74
42,TCGA-A2-A3XX-01,TCGA,13.66,10.19
43,GTEX-QXCU-0626-SM-2TC69,GTEX,11.95,12.93
44,TCGA-DQ-5624-01,TCGA,12.3,16.26
45,TCGA-KK-A7B3-01,TCGA,13.22,11.58
46,GTEX-1269C-2626-SM-5EQ5C,GTEX,11.27,10.35
47,TCGA-DQ-7591-01,TCGA,13.68,13.25
48,TCGA-06-5412-01,TCGA,8.417,10.8
49,GTEX-P4PQ-0126-SM-2S1NM,GTEX,13.1,12.8
50,TCGA-BP-4989-01,TCGA,11.23,13.3
51,TCGA-EJ-8468-01,TCGA,13.25,11.8
52,TCGA-CZ-5459-01,TCGA,11.89,13.23
53,TCGA-D5-5538-01,TCGA,12.54,9.789
54,TCGA-KP-A3W3-01,TCGA,12.27,9.957
55,GTEX-1122O-0426-SM-5H12G,GTEX,12.26,11.72
56,TCGA-CZ-5468-11,TCGA,14.36,12.18
57,TCGA-BH-A0BQ-11,TCGA,12.99,12.8
58,GTEX-1399Q-0005-SM-5NQAG,GTEX,9.205,2.829
59,TCGA-4X-A9FA-01,TCGA,10.96,12.38
60,TCGA-DD-AAW0-01,TCGA,12.1,12.2
61,GTEX-11EI6-0826-SM-5985V,GTEX,11.95,10.94
62,GTEX-11EI6-3126-SM-5H111,GTEX,12.7,9.907
63,TARGET-50-PAJMSE-01,TARGET,13.33,8.588
64,GTEX-QV44-1726-SM-4R1KG,GTEX,11.18,10.81
65,GTEX-111VG-1926-SM-5GIDO,GTEX,12.01,8.854
66,TCGA-BR-4292-01,TCGA,13.18,12.41
67,TCGA-AA-3511-01,TCGA,13.23,11.74
68,TCGA-Z7-A8R5-01,TCGA,13.61,10.02
69,TCGA-GV-A3QK-01,TCGA,15.39,10.1
70,GTEX-S341-0326-SM-2XCAU,GTEX,11.76,12.35
71,TCGA-39-5031-01,TCGA,12.13,13.04
72,GTEX-N7MS-2625-SM-3LK77,GTEX,11.86,9.127
73,TCGA-ZG-A8QW-01,TCGA,13.22,11.46
74,TCGA-DU-7302-01,TCGA,9.812,13.69
75,TCGA-DJ-A3UX-01,TCGA,13.27,12.68
76,TARGET-30-PATGLU-01,TARGET,9.472,7.901
77,GTEX-OHPJ-0926-SM-2HMJ1,GTEX,12.32,10.56
78,GTEX-13O61-0326-SM-5KM2O,GTEX,12.4,11.68
79,TCGA-ZN-A9VQ-01,TCGA,13.22,11.95
80,TCGA-EI-6512-01,TCGA,12.42,10.59
81,TCGA-J4-A83K-01,TCGA,12.9,11.83
82,TCGA-2H-A9GF-01,TCGA,19.06,12.2
83,TCGA-HZ-7922-01,TCGA,13.36,11.79
84,GTEX-TSE9-1326-SM-5CHR5,GTEX,0.0,0.0
85,GTEX-13PL7-2726-SM-5L3GB,GTEX,12.75,12.83
86,GTEX-ZVZQ-0006-SM-51MR8,GTEX,10.77,5.81
87,GTEX-QV44-0526-SM-2S1RE,GTEX,12.23,9.919
88,GTEX-WY7C-0426-SM-3NB3C,GTEX,12.49,12.07
89,TCGA-DD-AACA-02,TCGA,12.13,9.01
90,TCGA-DD-AACA-01,TCGA,12.7,11.02
91,GTEX-ZPCL-0004-SM-4WWD6,GTEX,8.783,4.229
92,GTEX-X5EB-0326-SM-4QASF,GTEX,11.62,10.81
93,TCGA-D3-A8GD-06,TCGA,11.02,6.844
94,TARGET-30-PASFIC-01,TARGET,10.98,10.27
95,GTEX-13G51-2126-SM-5IJD9,GTEX,11.18,11.09
96,TCGA-13-1485-01,TCGA,12.72,11.65
97,TCGA-QG-A5YX-01,TCGA,13.71,11.25
98,GTEX-Y5V6-2826-SM-4VDSF,GTEX,11.51,11.74
99,TCGA-ZG-A9MC-01,TCGA,14.16,12.59
100,TCGA-DU-A7TI-01,TCGA,9.665,14.27
101,GTEX-TMZS-0001-SM-3P61Q,GTEX,8.824,3.479
102,GTEX-T5JC-2426-SM-3NMDB,GTEX,8.954,9.724
103,TCGA-BR-8372-01,TCGA,13.07,11.6
104,GTEX-WOFM-0526-SM-4OOS2,GTEX,11.29,12.06
105,TCGA-HC-7742-01,TCGA,13.46,12.33
106,TCGA-DD-A3A6-11,TCGA,10.96,11.51
107,TCGA-64-1679-01,TCGA,13.78,13.09
108,TCGA-CV-5976-01,TCGA,12.81,17.01
109,GTEX-N7MS-2526-SM-26GMA,GTEX,7.777,8.881
110,TCGA-25-1315-01,TCGA,12.49,10.42
111,GTEX-13FTZ-2226-SM-5LZXI,GTEX,11.16,10.48
112,GTEX-14AS3-1326-SM-5RQJE,GTEX,11.23,11.14
113,TCGA-R6-A8WC-01,TCGA,17.35,12.51
114,GTEX-1339X-0326-SM-5K7Z8,GTEX,12.9,10.18
115,TCGA-GE-A2C6-01,TCGA,13.18,12.44
116,TCGA-CV-6948-01,TCGA,12.13,13.78
117,TCGA-K7-AAU7-01,TCGA,12.94,12.22
118,TCGA-CJ-6028-01,TCGA,11.21,14.91
119,GTEX-11ONC-2826-SM-5P9GQ,GTEX,12.15,10.1
120,TCGA-E9-A1N6-11,TCGA,12.72,13.03
121,GTEX-N7MS-2526-SM-26GMR,GTEX,7.625,10.23
122,GTEX-ZP4G-0526-SM-4YCED,GTEX,11.8,11.55
123,TCGA-CZ-5456-01,TCGA,11.81,14.38
124,GTEX-WH7G-0826-SM-4LVMR,GTEX,11.93,11.5
125,TCGA-EL-A3D0-01,TCGA,13.38,13.12
126,TCGA-EM-A22Q-01,TCGA,13.33,9.111
127,GTEX-1497J-1226-SM-5Q5BL,GTEX,12.06,10.22
128,TCGA-49-6744-01,TCGA,13.2,12.14
129,TCGA-5P-A9KA-01,TCGA,13.65,11.56
130,GTEX-QLQ7-0826-SM-447B3,GTEX,12.12,11.09
131,TCGA-78-7154-01,TCGA,13.72,11.43
132,TCGA-ZN-A9VU-01,TCGA,12.24,14.08
133,TCGA-Q3-A5QY-01,TCGA,11.48,10.19
134,GTEX-WYBS-1026-SM-4ONCY,GTEX,11.16,12.31
135,GTEX-ZPCL-1426-SM-57WEC,GTEX,13.57,12.75
136,GTEX-11NV4-1326-SM-5HL6V,GTEX,12.75,12.12
137,TCGA-AJ-A3BI-01,TCGA,12.13,8.457
138,TCGA-W2-A7UY-01,TCGA,7.503,8.91
139,TCGA-BH-A204-11,TCGA,11.38,13.55
140,TCGA-E3-A3E2-01,TCGA,13.8,12.32
141,GTEX-132QS-0326-SM-5IJFN,GTEX,12.87,11.4
142,TCGA-FB-A545-01,TCGA,12.85,11.72
143,TCGA-44-2657-11,TCGA,12.55,11.59
144,TCGA-G4-6320-01,TCGA,13.42,11.67
145,GTEX-X585-0008-SM-46MU4,GTEX,11.87,12.66
146,TCGA-EB-A41A-01,TCGA,11.13,6.58
147,GTEX-Z93S-1626-SM-5CVMB,GTEX,13.66,13.57
148,TCGA-55-6982-01,TCGA,12.35,12.66
149,GTEX-139T8-0011-R1a-SM-5HL75,GTEX,9.567,10.4
150,TARGET-50-PAJNTJ-01,TARGET,13.15,11.89
151,GTEX-12WSD-2826-SM-59HKT,GTEX,11.61,11.4
152,TCGA-RC-A7SH-01,TCGA,13.05,11.32
153,GTEX-11ZUS-0011-R11b-SM-5BC7B,GTEX,7.412,7.253
154,TCGA-CE-A484-01,TCGA,12.1,10.35
155,TCGA-E2-A153-11,TCGA,13.77,12.67
156,GTEX-ZPU1-1026-SM-4YCEQ,GTEX,8.974,9.726
157,GTEX-Y9LG-0226-SM-4VBS4,GTEX,11.8,11.53
158,GTEX-13PVQ-0726-SM-5L3GI,GTEX,12.84,11.11
159,GTEX-OHPL-1626-SM-2HMIR,GTEX,11.09,11.91
160,GTEX-POYW-0006-SM-2XCF4,GTEX,8.422,8.16
161,TCGA-DD-A3A5-11,TCGA,11.71,12.33
162,TCGA-AR-A0TX-01,TCGA,18.01,10.19
163,TCGA-CD-8528-01,TCGA,11.97,16.93
164,GTEX-12584-0926-SM-5FQTN,GTEX,11.8,10.87
165,GTEX-PLZ6-0626-SM-5K7WJ,GTEX,11.71,12.87
166,GTEX-11DYG-0006-SM-5NQB2,GTEX,10.8,4.019
167,TCGA-CM-6164-01,TCGA,13.21,11.57
168,TCGA-C5-A1ME-01,TCGA,13.63,9.53
169,TCGA-09-0369-01,TCGA,13.79,10.74
170,GTEX-Y5LM-0426-SM-4VBRO,GTEX,11.09,12.16
171,TCGA-E2-A2P6-01,TCGA,14.15,7.679
172,GTEX-YB5E-1026-SM-5IFI2,GTEX,11.9,12.81
173,TCGA-VD-A8KF-01,TCGA,11.27,7.001
174,GTEX-ZYW4-1426-SM-5SIAX,GTEX,11.3,12.1
175,GTEX-Y5V5-2126-SM-4WWFO,GTEX,12.14,13.09
176,GTEX-ZT9X-1826-SM-57WDU,GTEX,10.45,11.11
177,TCGA-EL-A4JZ-01,TCGA,13.24,11.38
178,GTEX-R53T-1626-SM-3GAEW,GTEX,9.301,12.38
179,TCGA-M7-A722-01,TCGA,14.12,10.07
180,GTEX-13O3P-0226-SM-5KM3Z,GTEX,9.439,11.83
181,GTEX-RU1J-0006-SM-2TF6M,GTEX,7.006,4.847
182,TCGA-CV-A6K0-01,TCGA,12.77,14.82
183,GTEX-Y114-1926-SM-4TT8J,GTEX,11.24,12.42
184,TCGA-24-1419-01,TCGA,12.85,9.408
185,TCGA-BH-A1EN-01,TCGA,18.16,8.198
186,GTEX-ZF3C-2026-SM-4WWB5,GTEX,12.59,11.55
187,TARGET-50-PAJLTI-01,TARGET,11.99,11.01
188,TCGA-AO-A1KT-01,TCGA,13.67,8.518
189,TCGA-D3-A3CE-06,TCGA,10.29,7.986
190,GTEX-P4PP-0726-SM-3NM9S,GTEX,11.24,12.61
191,GTEX-11ONC-2326-SM-5HL6P,GTEX,13.2,12.48
192,GTEX-P4QS-1726-SM-3NB1V,GTEX,12.66,12.87
193,TCGA-12-5299-01,TCGA,12.06,17.89
194,TARGET-50-PAJPAR-01,TARGET,12.85,11.56
195,TCGA-29-1761-01,TCGA,11.32,8.408
196,GTEX-NPJ7-2726-SM-2I3FT,GTEX,11.17,10.68
197,TCGA-33-4587-11,TCGA,11.85,11.25
198,GTEX-11OC5-0004-SM-5S2O6,GTEX,7.999,3.728
199,TCGA-BJ-A0ZJ-01,TCGA,13.45,11.35
200,TCGA-P5-A5EX-01,TCGA,10.97,12.89
201,TCGA-J8-A3O2-06,TCGA,14.31,12.72
202,GTEX-13OVJ-0011-R9b-SM-5L3GD,GTEX,9.709,10.28
203,TCGA-DJ-A4V2-01,TCGA,13.83,12.43
204,TCGA-HT-8563-01,TCGA,8.795,12.07
205,GTEX-ZA64-2226-SM-5Q5A9,GTEX,12.61,12.4
206,GTEX-XUW1-1726-SM-4BOOZ,GTEX,12.2,11.59
207,TCGA-J8-A3O2-01,TCGA,13.7,12.62
208,GTEX-131XE-2026-SM-5LZW1,GTEX,10.78,11.53
209,TCGA-AT-A5NU-01,TCGA,13.9,11.41
210,TCGA-E9-A3HO-01,TCGA,13.71,8.799
211,GTEX-XAJ8-1026-SM-47JY9,GTEX,11.41,11.82
212,GTEX-QCQG-1726-SM-3GIJ9,GTEX,12.64,13.72
213,TCGA-A6-A567-01,TCGA,13.35,10.63
214,TCGA-58-A46N-01,TCGA,12.24,13.06
215,TCGA-BH-A18V-06,TCGA,13.45,14.5
216,GTEX-12WSL-2726-SM-5CVNL,GTEX,11.12,12.32
217,GTEX-XMD2-0006-SM-4WWEG,GTEX,10.35,4.439
218,GTEX-13SLW-0226-SM-5S2NA,GTEX,10.1,11.88
219,GTEX-ZTSS-1126-SM-5985O,GTEX,13.01,12.09
220,GTEX-YBZK-0005-SM-59HKG,GTEX,9.13,5.093
221,GTEX-11P81-2426-SM-5GU65,GTEX,10.68,12.53
222,GTEX-14C5O-1726-SM-5RQI9,GTEX,11.35,12.11
223,TCGA-CG-4466-01,TCGA,18.84,13.28
224,TCGA-A3-3383-01,TCGA,12.75,12.39
225,GTEX-OIZI-1026-SM-3NB1K,GTEX,12.36,12.75
226,GTEX-13FHP-0226-SM-5K7WD,GTEX,10.05,11.98
227,TCGA-NJ-A4YI-01,TCGA,13.57,12.79
228,TCGA-D8-A1XJ-01,TCGA,18.62,11.58
229,GTEX-Y9LG-0426-SM-4VBRT,GTEX,13.12,12.12
230,TCGA-VT-A80J-01,TCGA,10.29,11.88
231,GTEX-11DZ1-0426-SM-5H11A,GTEX,11.76,11.72
232,TCGA-Q1-A73Q-01,TCGA,11.91,12.28
233,GTEX-S32W-0004-SM-2XCE9,GTEX,8.18,5.635
234,TCGA-SC-A6LM-01,TCGA,11.94,11.32
235,TCGA-EE-A2GB-06,TCGA,11.11,7.415
236,TCGA-24-1845-01,TCGA,13.69,10.91
237,TCGA-AA-3516-11,TCGA,14.27,12.78
238,GTEX-ZLWG-0008-SM-4E3J4,GTEX,11.48,12.63
239,TARGET-10-PANIEU-03,TARGET,8.584,0.0
240,GTEX-12ZZZ-0011-R10a-SM-5P9HC,GTEX,8.757,10.15
241,TCGA-HU-A4GP-11,TCGA,11.02,12.78
242,TCGA-A2-A04P-01,TCGA,12.31,11.5
243,TCGA-BA-6870-01,TCGA,11.83,13.78
244,TCGA-73-4666-01,TCGA,13.35,12.5
245,TCGA-MV-A51V-01,TCGA,15.94,10.54
246,TCGA-A4-A5Y0-01,TCGA,13.42,10.92
247,TCGA-5P-A9K4-01,TCGA,14.05,11.8
248,TCGA-VD-A8KE-01,TCGA,11.62,7.217
249,GTEX-N7MT-1426-SM-3LK5M,GTEX,12.94,11.96
250,TCGA-56-A4BX-01,TCGA,13.98,14.46
251,GTEX-Q2AI-0006-SM-2I3FG,GTEX,6.343,0.0
252,TCGA-34-7107-01,TCGA,11.59,13.45
253,TARGET-20-PASMHY-03,TARGET,5.187,0.0
254,GTEX-ZUA1-0011-R8b-SM-51MST,GTEX,8.305,9.297
255,GTEX-YB5E-0008-SM-4VDT7,GTEX,11.79,12.88
256,GTEX-139TU-0226-SM-5J1NM,GTEX,10.21,12.68
257,TCGA-BR-A4J9-01,TCGA,11.62,13.03
258,TCGA-FD-A3N6-01,TCGA,11.89,13.88
259,TCGA-CV-6955-01,TCGA,13.82,13.04
260,TARGET-10-PAPBZK-09,TARGET,9.024,0.0
261,TCGA-P3-A5Q6-01,TCGA,11.37,16.44
262,TCGA-FG-A60K-01,TCGA,9.977,13.28
263,GTEX-13NYB-0726-SM-5MR4J,GTEX,12.6,11.3
264,GTEX-ZYVF-2526-SM-5E45C,GTEX,11.55,11.95
265,TCGA-D7-A4Z0-01,TCGA,12.95,12.43
266,TCGA-24-2293-01,TCGA,13.08,11.87
267,GTEX-13FHP-0011-R7b-SM-5LZYI,GTEX,10.37,11.24
268,TCGA-44-6146-11,TCGA,12.6,12.62
269,TCGA-QK-A64Z-01,TCGA,12.17,13.82
270,TCGA-2J-AABI-01,TCGA,13.31,14.64
271,TCGA-AC-A2FK-01,TCGA,14.18,12.46
272,TARGET-20-PAEFGT-04,TARGET,6.095,0.0
273,GTEX-WI4N-1126-SM-3LK7Q,GTEX,10.4,12.98
274,GTEX-N7MT-1126-SM-2YUNQ,GTEX,9.941,9.209
275,TCGA-29-A5NZ-01,TCGA,13.41,11.52
276,TCGA-CG-4462-01,TCGA,12.97,12.15
277,GTEX-147F4-1226-SM-5NQAY,GTEX,11.85,10.8
278,TCGA-HC-8265-01,TCGA,12.53,13.95
279,GTEX-ZE7O-1526-SM-5J1NH,GTEX,9.922,10.6
280,TCGA-DV-A4W0-05,TCGA,13.78,12.98
281,TCGA-DD-AAVZ-01,TCGA,11.84,13.3
282,TCGA-E9-A1RF-11,TCGA,10.02,13.8
283,GTEX-13OVL-2726-SM-5J2MP,GTEX,11.81,12.18
284,K-562-SM-5P9EQ,K,8.846,0.7523
285,GTEX-OIZH-0326-SM-2HMKC,GTEX,12.86,10.61
286,GTEX-XYKS-2726-SM-4E3IC,GTEX,11.22,12.28
287,GTEX-P4QT-0008-SM-48TDZ,GTEX,11.38,12.97
288,TCGA-DJ-A13R-01,TCGA,12.27,9.514
289,TCGA-DD-A116-11,TCGA,12.01,12.99
290,TCGA-E9-A1R4-01,TCGA,13.11,8.44
291,TCGA-3U-A98F-01,TCGA,12.71,13.15
292,TCGA-C5-A1MF-01,TCGA,13.73,10.81
293,TCGA-77-8145-01,TCGA,12.36,13.14
294,GTEX-13N2G-2226-SM-5IJCU,GTEX,11.8,11.5
295,TCGA-LL-A740-01,TCGA,14.6,12.92
296,TCGA-F5-6863-01,TCGA,12.16,11.73
297,TCGA-06-2565-01,TCGA,11.35,17.98
298,TCGA-33-AASD-01,TCGA,10.77,13.86
299,TCGA-ET-A3BS-01,TCGA,13.68,13.17
300,GTEX-13112-0011-R7b-SM-5DUVW,GTEX,9.998,10.89
301,TCGA-DM-A1D4-01,TCGA,12.4,10.77
302,TCGA-JY-A938-01,TCGA,15.36,13.03
303,TCGA-29-1768-01,TCGA,12.04,9.598
304,GTEX-13N11-0526-SM-5IJFI,GTEX,11.77,11.79
305,GTEX-ZEX8-0426-SM-4WWEN,GTEX,12.3,9.96
306,GTEX-Q2AG-0011-R3A-SM-2HMJ9,GTEX,8.506,9.683
307,GTEX-11DXW-1026-SM-5H11K,GTEX,8.836,9.325
308,GTEX-13N2G-0011-R4b-SM-5MR54,GTEX,10.75,9.838
309,TCGA-IQ-A61O-01,TCGA,12.55,10.94
310,TCGA-92-8063-01,TCGA,11.29,13.64
311,GTEX-145LV-0226-SM-5S2QG,GTEX,12.96,9.906
312,TCGA-EL-A3T1-01,TCGA,13.95,13.13
313,GTEX-13O1R-2326-SM-5IJF9,GTEX,8.56,9.809
314,TCGA-ED-A627-01,TCGA,12.77,11.98
315,GTEX-XXEK-1026-SM-4BRUW,GTEX,12.74,10.77
316,TCGA-N6-A4VC-01,TCGA,15.12,9.57
317,TCGA-39-5028-01,TCGA,12.16,13.19
318,GTEX-X88G-0006-SM-47JX5,GTEX,8.143,5.56
319,GTEX-ZT9X-0008-SM-4YCD7,GTEX,11.53,12.93
320,TCGA-C8-A3M8-01,TCGA,15.15,8.833
321,TCGA-BJ-A0ZF-01,TCGA,13.7,12.68
322,TCGA-BH-A0BM-01,TCGA,13.28,11.1
323,TCGA-AB-2914-03,TCGA,6.655,1.546
324,TCGA-ER-A19S-06,TCGA,9.909,6.637
325,TCGA-RY-A83X-01,TCGA,9.922,12.69
326,TCGA-DM-A0X9-01,TCGA,12.68,10.34
327,TCGA-KK-A8I5-01,TCGA,12.6,11.03
328,TCGA-AN-A0XW-01,TCGA,12.88,9.869
329,TCGA-55-A4DG-01,TCGA,13.93,12.89
330,GTEX-1445S-0011-R7b-SM-5PNUG,GTEX,10.5,11.19
331,TARGET-50-PAJNTJ-02,TARGET,12.46,11.74
332,TCGA-RW-A684-01,TCGA,8.501,7.643
333,GTEX-ZUA1-0011-R7b-SM-4YCDP,GTEX,9.857,11.1
334,TCGA-BJ-A45C-01,TCGA,13.55,11.29
335,TCGA-ET-A2N4-01,TCGA,13.31,11.31
336,TCGA-BJ-A28X-11,TCGA,12.5,11.87
337,TCGA-DX-AB2Q-01,TCGA,11.62,14.71
338,GTEX-1399U-1526-SM-5J2N7,GTEX,12.8,13.12
339,TCGA-CV-7091-11,TCGA,10.94,11.49
340,TCGA-EE-A3AB-06,TCGA,11.81,6.445
341,TCGA-24-1426-01,TCGA,12.57,10.57
342,GTEX-13FH7-2126-SM-5L3DJ,GTEX,11.65,10.28
343,K-562-SM-32PMP,K,8.661,3.58
344,TCGA-DD-A11B-11,TCGA,12.52,12.42
345,TCGA-78-7146-01,TCGA,12.88,13.45
346,TCGA-06-2561-01,TCGA,11.47,13.18
347,GTEX-11DXX-0008-SM-5Q5B8,GTEX,11.49,13.21
348,GTEX-PX3G-1626-SM-2S1PT,GTEX,11.01,10.09
349,TCGA-EJ-7125-11,TCGA,11.95,11.23
350,TCGA-IN-8663-01,TCGA,12.82,14.32
351,TCGA-ZG-A9M4-01,TCGA,12.61,12.5
352,TCGA-ZJ-A8QQ-01,TCGA,12.54,13.47
353,TCGA-37-4133-01,TCGA,11.64,10.71
354,GTEX-UJMC-1326-SM-4IHLS,GTEX,13.42,11.6
355,TCGA-77-8146-01,TCGA,12.8,12.78
356,TCGA-RL-AAAS-01,TCGA,12.71,10.95
357,TCGA-2G-AAHN-01,TCGA,10.4,7.735
358,TCGA-L9-A5IP-01,TCGA,12.29,13.13
359,TCGA-CJ-5672-01,TCGA,11.94,13.78
360,TARGET-21-PATISD-09,TARGET,5.488,4.189
361,TCGA-WB-A819-01,TCGA,8.748,6.095
362,TCGA-DD-AACW-01,TCGA,12.03,12.56
363,TCGA-CQ-5327-01,TCGA,12.54,13.14
364,GTEX-XAJ8-1126-SM-47JYA,GTEX,12.98,11.91
365,TCGA-E2-A1LL-01,TCGA,12.05,13.49
366,GTEX-13O1R-0126-SM-5L3EH,GTEX,12.54,14.0
367,TCGA-FD-A3SR-01,TCGA,16.13,15.05
368,GTEX-13NZ9-0826-SM-5J1NI,GTEX,11.34,12.29
369,TCGA-KK-A8II-01,TCGA,13.06,11.49
370,GTEX-13FLV-1226-SM-5IJBZ,GTEX,11.49,12.66
371,TCGA-B0-4700-11,TCGA,13.28,11.53
372,GTEX-WHPG-0326-SM-4M1XV,GTEX,11.45,11.53
373,TCGA-24-1435-01,TCGA,12.75,10.87
374,GTEX-14DAQ-2526-SM-5RQIO,GTEX,11.64,12.11
375,GTEX-ZT9W-1426-SM-4YCD2,GTEX,11.49,13.18
376,TCGA-BH-A18K-01,TCGA,13.25,9.52
377,TCGA-BH-A28O-01,TCGA,13.65,12.0
378,TCGA-55-6712-01,TCGA,13.98,13.11
379,TCGA-XV-AAZW-01,TCGA,11.45,10.49
380,TCGA-F2-7276-01,TCGA,12.3,12.07
381,TCGA-BJ-A0Z2-01,TCGA,13.19,10.73
382,TCGA-DK-A6B0-01,TCGA,13.78,9.883
383,GTEX-139T4-0011-R9b-SM-5HL6S,GTEX,10.17,8.763
384,GTEX-X261-0011-R10B-SM-4E3JT,GTEX,9.606,10.33
385,TCGA-B0-4846-01,TCGA,11.95,13.81
386,TCGA-ET-A2N0-01,TCGA,13.65,11.05
387,TCGA-34-7107-11,TCGA,12.02,11.83
388,TCGA-BJ-A290-11,TCGA,13.59,12.57
389,GTEX-QV44-2226-SM-447A3,GTEX,12.84,11.93
390,TCGA-FB-A7DR-01,TCGA,12.32,11.9
391,TCGA-YB-A89D-01,TCGA,13.25,11.12
392,GTEX-ZF2S-1526-SM-5S2OO,GTEX,9.391,12.45
393,TARGET-10-PARXMC-04,TARGET,8.395,3.264
394,TCGA-CH-5752-01,TCGA,10.24,11.19
395,TCGA-77-7142-01,TCGA,13.14,13.25
396,GTEX-WHSE-0426-SM-4M1XO,GTEX,11.1,9.81
397,TCGA-CR-7374-01,TCGA,13.1,13.07
398,TCGA-KS-A4I1-01,TCGA,14.54,12.26
399,TCGA-60-2719-01,TCGA,11.87,12.57
400,TCGA-VR-A8Q7-01,TCGA,14.37,17.09
401,TARGET-30-PANXJL-01,TARGET,11.28,10.93
402,GTEX-Q734-1626-SM-48U1B,GTEX,12.0,10.81
403,TCGA-A7-A4SC-01,TCGA,15.08,10.54
404,GTEX-RN64-2326-SM-48FDW,GTEX,11.52,10.34
405,GTEX-12696-1126-SM-5FQTI,GTEX,12.29,11.01
406,GTEX-13O61-0126-SM-5KM4P,GTEX,8.71,10.96
407,GTEX-13OVL-0226-SM-5L3E9,GTEX,13.29,13.3
408,GTEX-13PVR-2326-SM-5QGR1,GTEX,13.38,13.52
409,TCGA-YU-A90Y-01,TCGA,12.33,9.753
410,TCGA-A7-A13F-11,TCGA,12.27,13.22
411,TCGA-ET-A2MX-11,TCGA,12.81,11.34
412,TCGA-FD-A5BS-01,TCGA,11.34,9.711
413,GTEX-YF7O-2426-SM-5IFJL,GTEX,10.36,13.22
414,TCGA-85-8351-01,TCGA,12.74,17.76
415,GTEX-13FH7-1226-SM-5IJFK,GTEX,12.51,10.83
416,GTEX-132AR-2726-SM-5PNVN,GTEX,13.63,11.6
417,GTEX-ZXG5-0326-SM-5GICH,GTEX,11.0,11.72
418,TCGA-A8-A08O-01,TCGA,14.15,10.37
419,GTEX-14E7W-0526-SM-5S2W8,GTEX,12.09,12.2
420,GTEX-WXYG-0826-SM-4ONC7,GTEX,12.27,11.89
421,TCGA-J7-6720-01,TCGA,13.45,12.4
422,GTEX-Q2AG-0005-SM-5SI7F,GTEX,10.53,5.089
423,TCGA-E9-A24A-01,TCGA,12.9,8.715
424,TARGET-30-PARYNK-01,TARGET,10.33,7.358
425,GTEX-XMK1-2626-SM-4B65R,GTEX,13.12,12.52
426,TCGA-49-AARE-01,TCGA,13.55,8.713
427,TCGA-BC-4073-01,TCGA,12.98,13.11
428,TCGA-AC-A6IV-01,TCGA,13.66,10.68
429,GTEX-12WSL-2426-SM-5GCN7,GTEX,10.95,13.38
430,TARGET-30-PAPTDH-01,TARGET,10.25,8.958
431,TCGA-DK-A1AD-01,TCGA,14.69,11.31
432,TCGA-B6-A400-01,TCGA,12.99,9.816
